Review,PathingImage,Price,NamePackage,Country,State,Labels
"El Coliseo Romano o Anfiteatro Flavio es el monumento símbolo de Roma. Construido hace 2000 años para celebrar la grandeza del Imperio Romano hoy lo visitan más de 6 millones de turistas. Te contamos su historia, admiramos su belleza, te explicamos cómo llegar, los horarios y precios de las entradas.",https://www.laotraruta.org/wp-content/uploads/2014/08/coliseo-de-roma-noche.jpg,1732.56,Coliseo,Italia,Roma,Coliseo;Roma; Italia;
"La legendaria ciudad maya de Chichén Itzá, Patrimonio de la Humanidad declarada por la UNESCO desde 1988 y Maravilla del Mundo desde 2007, sobresalió como centro cultural y político de la vieja civilización maya y fue uno de los asentamientos más extensos del centro-norte de la península de Yucatán. ",https://www.yucatan.gob.mx/docs/galerias/chichen_itza/1.jpg,620.78,Chichén Itzá,México,Yucatán,Chichén Itzá; Yucatán; México;
"Santa Sofía o, como la llaman los turcos, Ayasofya, es el símbolo de Estambul. Fue construida durante el mandato de Justiniano entre los años 532 y 537 y es una de las obras maestras del arte bizantino.",https://mymodernmet.com/wp/wp-content/uploads/2020/01/hagia-sophia-1.jpg,1153.04,Santa Sofía,Turquía,Estambul,Santa Sofía; Estambul; Turquía;
La Ciudad Prohibida es el majestuoso complejo arquitectónico desde el cual gobernaron los 24 emperadores chinos que se sucedieron durante más de 500 años desde principios del siglo XV.,https://historia.nationalgeographic.com.es/medio/2021/03/03/la-sala-de-la-armonia-suprema_fe4b30f1_800x594.jpg,2297.41,Ciudad Prohibida,China,Beijing,Ciudad Prohibida; Beijing; China;
"El Palacio de Buckingham es la residencia de la Familia Real Británica en Londres desde 1837. Actualmente, es el lugar de residencia de la reina Isabel II.",https://www.eliberico.com/wp-content/uploads/2021/09/palacio-buckingham.jpg,814.16,Palacio de Buckingham,Inglaterra,Londres,Palacio de Buckingham; Londres; Inglaterra; Palacio;
"Considerado el palacio real más importante de Corea del Sur, el Palacio Gyeongbokgung es una de las visitas obligadas que hay en la ciudad de Seúl. Su larga historia, junto con la belleza de sus edificios, hacen del Palacio Gyeongbokgung un lugar único en el país.",https://i1.wp.com/www.agoda.com/wp-content/uploads/2019/05/Gyeongbokgung-palace-Seoul-Front-view-of-palace.jpg,1427.69,Gyeongbokgung,Corea del Sur,Seúl,Gyeongbokgung; Seúl; Corea del Sur; 
"La impresionante Opera House (Casa de la Ópera), conocida a nivel mundial por su techo en forma de concha, no es solo el icono de la ciudad de Sídney, sino de toda Australia. Este moderno edificio, declarado Patrimonio de la Humanidad en 2007 por la UNESCO.",https://www.arqhys.com/wp-content/uploads/2014/07/Opera-de-Sydney.jpg,2204.19,Ópera de Sídney,Australia,,Ópera de Sídney; Australia; Ópera; Sídney;
"El monte Everest es la montaña más alta de la superficie del planeta Tierra,con una altitud de 8848 metros sobre el nivel del mar. Está localizada en el continente asiático, en la cordillera del Himalaya, concretamente en la subcordillera de Mahalangur Himal; marca la frontera entre China y Nepal, considerada como la frontera más alta del mundo. El macizo incluye los picos vecinos Lhotse, 8516 metros ; Nuptse, 7855 m y Changtse, 7580 m .",https://www.tekcrispy.com/wp-content/uploads/2020/12/altura-monte-everest.jpg,1977.05,Monte Everest,Nepal y China,,Monte Everest; Nepal ; China; Everest; Monte;
"Petra es un importante enclave arqueológico en Jordania, y la capital del antiguo reino nabateo, cuyos pobladores la llamaban Raqmu. El nombre de Petra proviene del griego ????? que significa piedra.",https://viajerosocultos.com/wp-content/uploads/2020/09/petra-jordania.jpg,1406.4,Petra,Jordania,,Petra; Jordania;
"Para visitar el museo, hay que reservar las entradas previamente por internet, inclusive si se tiene acceso gratuito. De conformidad con las últimas medidas adoptadas por el gobierno francés, todos los visitantes mayores de 12 años y dos meses deberán presentar un pasaporte sanitario. Asimismo, se deberá tener en cuenta que el uso de la mascarilla es obligatorio a partir de 11 años.",https://i1.wp.com/www.sinmapa.net/wp-content/uploads/2018/01/louvre-paris-3-e1574445033370.jpg?resize=700%2C467,1790.6,Museo del Louvre,Francia,París,Museo del Louvre; París; Francia; Museo;
"Los Guerreros de terracota son un conjunto de más de 8000 figuras de guerreros y caballos de terracota a tamaño real, que fueron enterradas cerca del autoproclamado primer emperador de China de la Dinastía Qin, Qin Shi Huang, en 210-209 a. C.",https://historia.nationalgeographic.com.es/medio/2018/02/28/138702658__1280x853.jpg,1600.98,Guerreros de Terracota,China,Xi’an,Guerreros de Terracota; Xi’an; China; Terracota;
"Borobudur es una estupa budista con silueta piramidiforme relacionada con la tradición Mah?y?na, que está ubicada en la provincia Java Central de Indonesia, cuarenta kilómetros al noroeste de Yogyakarta.",https://i.blogs.es/8422f8/2336220351_825a1b92d3_z/1366_2000.jpg,1951.46,Borobudur,Indonesia,Java,Borobudur;Java; Indonesia;
"El Kilimanjaro es una montaña situada en el noreste de Tanzania, formada por tres volcanes inactivos: el Shira, en el oeste, de 3962 m de altitud; el Mawenzi, en el este, de 5149 m y el Kibo, entre ambos, el más reciente desde el punto de vista geológico y cuyo pico, el Uhuru, se eleva hasta los más 5891,8 m.",http://panavision-tours.es/viajes/monte-kilimanjaro/monte-kilimanjaro.jpg,1507.96,Kilimanjaro,Tanzania,,Kilimanjaro; Tanzania;
"Las cataratas del Iguazú, llamadas popularmente en Argentina como Las Cataratas o Las Cataratas del Iguazú, son un conjunto de cataratas que se localizan sobre el río Iguazú, en el límite entre la provincia argentina de Misiones y el estado brasileño de Paraná. ",https://www.eluniversal.com.mx/sites/default/files/2018/09/21/cataratas_iguazu_argentina_brasil.jpg,3027.85,Cataratas de Iguazú,Argentina y Brasil,,Cataratas; Argentina ; Brasil; Cataratas de Iguazú;
"Conocida a nivel mundial por su grandiosidad y la belleza de sus construcciones, la Plaza Roja de Moscú es el corazón y el alma no solo de la ciudad, sino de toda Rusia. Su rostro imponente e impasible es capaz de cautivar a sus visitantes, haciendo saltar más de una lágrima.",https://lonelyplanetes.cdnstatics2.com/sites/default/files/styles/max_650x650/public/imprescindibles_images/rusia_moscu_plazaroja_catedral_shutterstockrf_360409262_marinada_shutterstock.jpg?itok=t4XBmrLi,1388.03,Plaza Roja,Rusia,Moscú,Plaza Roja; Moscú; Rusia;
"El Cristo Redentor o Cristo del Corcovado es una estatua art déco de Jesús de Nazaret con los brazos abiertos mostrando a la ciudad de Río de Janeiro, Brasil. La estatua tiene una altura de 38 metros sobre un pedestal de 8 metros.??",https://mapamundi.online/wp-content/uploads/2019/05/cristo-redentor-brasil-maravilla-del-mundo.jpg,1195.2,Cristo Redentor,Brasil,Rio de Janeiro,Cristo redentor; rio de janeiro; brasil
"The Strip, un área rodeada de lujosos hoteles casino y luces de neón, representa la ciudad de las Vegas. Además de los sitios de apuestas, los amplios complejos de hoteles albergan una gran variedad de tiendas, restaurantes (populares y refinados) y recintos de eventos musicales, de comedia y actos circenses.",https://cdn2.civitatis.com/estados-unidos/las-vegas/guia/strip-grid-m.jpg,1569.11,El Strip,EE.UU,Las Vegas,El Strip; Las Vegas; EE.UU;
"El Taj Mahal ?? es un monumento funerario construido entre 1631 y 1654 en la ciudad de Agra, estado de Uttar Pradesh, a orillas del río Yamuna, por el emperador musulmán Shah Jahan de la dinastía mogol.",https://mymodernmet.com/wp/wp-content/uploads/2020/10/taj-mahal-2.jpg,2012.96,Taj Mahal,India,Agra,Taj Mahal; Agra; India;
"El santuario Meiji, es un icono de Tokio al que hasta ahora solo le habíamos dedicado unas pocas líneas en nuestra guía de Shibuya, y es por ello que hemos querido otorgarle la importancia que merece con este artículo en el que te daremos todos los detalles para que disfrutes al máximo de tu visita a uno de los puntos más frecuentados de Tokio por japoneses y turistas extranjeros.",https://media-cdn.tripadvisor.com/media/photo-s/11/a2/c7/9d/caption.jpg,1720.62,Santuario de Meiji,Japón,Tokio,Santuario de Meiji; Tokio; Japón; Santuario;
El Muro de Berlín fue un muro de seguridad que formó parte de la frontera interalemana desde el 13 de agosto de 1961 hasta el 9 de noviembre de 1989.,https://www.guiadealemania.com/wp-content/uploads/2013/02/Restos-del-Muro-de-Berlin-en-Potsdamer-Platz-760x500.jpg,752.17,Muro de Berlín,Alemania,,Muro de Berlín; Alemania; Berlín; Muro;
"La montaña de la Mesa es una montaña de cima plana localizada en un lugar prominente muy conocido que domina la Ciudad del Cabo en Sudáfrica. Es uno de los símbolos más representativos de la ciudad, apareciendo en su bandera y otras insignias de gobiernos locales.?",https://img.ev.mu/images/attractions/3765/960x640/1805.jpg,1219.51,Montaña de la Mesa,Sudáfrica,Ciudad del Cabo,Montaña; Montaña de la Mesa; Ciudad del Cabo; Sudáfrica;
"Las cataratas del Niágara son un conjunto de cascadas situadas en el río Niágara, en la zona noreste de América del Norte, entre Canadá y Estados Unidos. Situadas a unos 236 metros sobre el nivel del mar, su caída es de aproximadamente 51 metros.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/33/f2/9d/caption.jpg?w=700&h=-1&s=1,855.73,Cataratas del Niágara,EE.UU y Canadá,Nueva York y Ontario,Cataratas del Niágara; Nueva York ; Ontario; EE.UU ;Canadá;
"La Plaza de la Constitución, informalmente conocida como El Zócalo, es la plaza principal de la Ciudad de México. Junto con las calles aledañas, ocupa una superficie casi rectangular de aproximadamente 46 800 m². Se le denominó así en honor a la Constitución de Cádiz promulgada en 1812.",https://ichef.bbci.co.uk/news/640/cpsprodpb/C480/production/_108640305_gettyimages-1132330190.jpg,800.56,Zócalo,México,Ciudad de México,Zócalo; Ciudad de México; México; 
"Angkor Wat, escrito también en ocasiones Angkor Vat, es el templo hinduista más grande y también el mejor conservado de los que integran el asentamiento de Angkor. Está considerado como la mayor estructura religiosa jamás construida, ? y uno de los tesoros arqueológicos más importantes del mundo.",https://thumbs.dreamstime.com/b/angkor-wat-siem-reap-camboya-102880586.jpg,832.51,Angkor Wat,Camboya,Siem Reap,Angkor Wat; Siem Reap; Camboya; Angkor;
"Las islas Galápagos son un archipiélago volcánico del océano Pacífico. Es conocido como uno de los destinos más famosos del mundo para la observación de fauna. Es una provincia de Ecuador y se encuentra a unos 1,000 km desde sus costas. Su terreno aislado alberga una diversidad de especies animales y vegetales, muchas de ellas exclusivas.",https://static.hosteltur.com/app/public/uploads/img/articles/2019/01/31/L_153817_l-5c1a9b9b78232-maxresdefault.jpg,1780.11,Islas Galápagos,Ecuador,,Islas Galápagos; Ecuador; Islas; Isla;
"Machu Picchu es una ciudadela inca ubicada en las alturas de las montañas de los Andes en Perú, sobre el valle del río Urubamba. Se construyó en el siglo XV y luego fue abandonada, y es famosa por sus sofisticadas paredes de piedra seca que combinan enormes bloques sin el uso de un mortero, los edificios fascinantes que se relacionan con las alineaciones astronómicas y sus vistas panorámicas.",https://phantom-elmundo.unidadeditorial.es/bedc22fe7d9caf7875c3df067959dc56/crop/0x0/1015x677/resize/746/f/jpg/assets/multimedia/imagenes/2020/01/15/15790450742996.jpg,979.46,Machu Picchu,Perú,,Machu Picchu; Perú; Monte; Montaña;
"La Acrópolis de Atenas puede considerarse la más representativa de las acrópolis griegas. La acrópolis era, literalmente, la ciudad alta? y estaba presente en la mayoría de las ciudades griegas, con una doble función: defensiva y como sede de los principales lugares de culto.?",https://blog-grecia.com/wp-content/uploads/2009/05/acropolis_grecia.jpg,1947.13,Acrópolis,Grecia,Atenas,Acrópolis;Atenas; Grecia;
"Construida bajo el reinado de Guillermo I, la Torre de Londres es una enorme fortificación que ha funcionado a lo largo de su historia como residencia real, arsenal, fortaleza y prisión.",https://historia.nationalgeographic.com.es/medio/2017/09/12/y9r-1855764_cd6c1fb9.jpg,1484.52,Torre de Londres,Inglaterra,,Torre de Londres; Inglaterra; Torre;
"La Ciudad del Vaticano, una ciudad estado ubicada dentro de Roma, Italia, es la sede central de la Iglesia Católica Romana. Es el hogar del Papa y es un tesoro de la arquitectura y el arte icónicos. Sus Museos del Vaticano contienen antiguas esculturas romanas, como la famosa “Laocoonte y sus hijos”, junto con frescos renacentistas en las Salas de Rafael y en la Capilla Sixtina, famosa por el techo pintado por Miguel Ángel.",https://amazing.zone/fotosblog/max/VATICANO_X1.jpg,770.69,Ciudad del Vaticano,Italia,Roma,Ciudad del Vaticano; Vaticano
"Descubierto en 1807 por Lewis y Clark, las palabras no alcanzan para describir al Parque Nacional de Yellowstone, una de las primeras creaciones de la Madre Naturaleza. Una fuerza dinámica geotérmica, oculta debajo de la superficie, formó un conjunto impactante de montañas, ríos, cañones, termas y géiseres, que están rodeados de una gran cantidad de animales, desde los más grandes mamíferos hasta pequeñas aves.",https://www.visittheusa.mx/sites/default/files/styles/hero_l/public/images/hero_media_image/2016-10/Yellowstone.jpg?itok=OpHn5jav,1056.55,Parque Nacional de Yellowstone,EE.UU,,Parque; Yellowstone ; EE.UU; Parque Nacional de Yellowstone;
"La Laguna Azul es un balneario geotermal situado al suroeste de Islandia. Se trata de una de las atracciones más visitadas del país, donde las vaporosas aguas son parte de una formación de lava.",https://escritorislandia.com/wp-content/uploads/2017/03/lago-azul-islandia.jpeg,1951.46,Laguna Azul,Islandia,Grindavík,Laguna Azul; Grindavík; Islandia; Laguna;
"Stonehenge es un monumento megalítico tipo crómlech, además de otros elementos como hoyos, fosos, montículos, etc., construido entre el final del Neolítico y principios de la Edad del Bronce, situado cerca de Amesbury, en el condado de Wiltshire, Inglaterra, a unos trece kilómetros al norte de Salisbury.",https://historia.nationalgeographic.com.es/medio/2020/06/20/133-stonehenge1_ed4cb08b_800x600.jpg,1507.96,Stonehenge,Inglaterra,Amesbury,Stonehenge;Amesbury; Inglaterra;
"La mezquita-catedral de Córdoba, Santa María Madre de Dios o Gran mezquita de Córdoba, actualmente conocida como la Catedral de la Asunción de Nuestra Señora de forma eclesiástica, es un edificio de la ciudad de Córdoba, España.",https://www.aciprensa.com/imagespp/CatedralCordoba-Wikipedia-17092018.jpg?jpg,3027.85,Mezquita-Catedral de Córdoba,España,,Mezquita-Catedral de Córdoba; España; Catedral; Córdoba; 
"La Iglesia del Salvador sobre la Sangre Derramada o Iglesia de la Resurrección de Cristo es una iglesia de San Petersburgo, situada en la orilla del canal Griboedova cerca del parque del Museo Ruso y de la Avenida Nevski. ",https://lonelyplanetes.cdnstatics2.com/sites/default/files/styles/max_650x650/public/imprescindibles_images/rusia_sanpetersburgo_iglesiasalvador_gettyrf_503257072_chan_srithaweeporn_getty__images.jpg?itok=l5FwGEU6,1388.03,Iglesia del Salvador sobre la Sangre Derramada,Rusia,San Petersburgo,Iglesia ; Sangre Derramada; San Petersburgo; Rusia; Iglesia del Salvador sobre la Sangre Derramada;
"La basílica catedral metropolitana de Santa Maria del Fiore, o catedral de Santa María de la Flor, es la sede episcopal de la archidiócesis de Florencia, Italia. Es una de las obras maestras del arte gótico y del primer Renacimiento italiano.",https://lh3.googleusercontent.com/proxy/ASAIUbmJbPCtvDw-KEnyPuaOLC8q4aWU3ZVup_hC1CRzGxzZp354kdorCLLQJLxH057T2vFI9JtcezMOwneYOfnjHWbnALzJpMcv7xdTiW3EW0KhDXX9wNkkNQ4,1195.2,Catedral de Santa María del Fiore,Italia,Florencia,Catedral; Catedral de Santa María del Fiore; Florencia; Italia;
"El Monumento a la Mexicanidad es una escultura monumental urbana ubicada en Ciudad Juárez, Chihuahua, México. Es llamada popularmente La X o La X de Sebastián, tanto por su peculiar forma escultórica, como por honor a su autor.",https://s3.amazonaws.com/s3.timetoast.com/public/uploads/photo/11336770/image/4fac6ec84a099d9eda52a71db9f164df,869.11,Monumento a la Mexicanidad,México,Ciudad Juarez,Monumento ; Mexicanidad; México; X; Monumento a la Mexicanidad;
"Mazatlán es un balneario mexicano de la costa del Pacífico en el estado de Sinaloa. Las playas de arena bordean su malecón de 21 km de largo y el lugar es famoso por la pesca de altura. En su Centro Histórico, o Viejo Mazatlán, los sitios icónicos del siglo XIX incluyen el Teatro Ángela Peralta y la altísima basílica de la Inmaculada Concepción.",https://blog.vivaaerobus.com/wp-content/uploads/2019/09/MALECON-MAZATLAN-.jpg,542.48,Mazatlán,Sinaloa,,Mazatlán; Sinaloa; Playa; 
"Puerto Vallarta es un balneario en la costa del Pacífico de México, en el estado de Jalisco. Es famoso por sus playas, los deportes acuáticos y la vida nocturna. En el centro con adoquines, se encuentra la adornada iglesia de Nuestra Señora de Guadalupe, además de tiendas de moda y una variedad de restaurantes y bares.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/f5/6c/puerto-vallarta.jpg?w=700&h=500&s=1,832.51,Puerto Vallarta,México,,Puerto Vallarta; México;
